lattitude,longitude,rssi,rssiPacket,snr,srcID
43.5697, 1.4529, -115, -111, 1, 2
43.5697, 1.4530, -114, -112, 0, 2
43.5698, 1.4531, -113, -121, -4, 2
43.5699, 1.4532, -114, -121, -4, 2
43.5699, 1.4532, -115, -119, -2, 2
43.5700, 1.4533, -114, -120, -3, 2
43.5700, 1.4534, -112, -118, -1, 2
43.5701, 1.4535, -115, -114, 0, 2
43.5701, 1.4536, -95, -136, -19, 0
43.5702, 1.4537, -115, -136, -19, 0
43.5703, 1.4538, -115, -121, -4, 2
43.5703, 1.4538, -108, -119, -2, 2
43.5708, 1.4544, -113, -102, 5, 2
43.5708, 1.4545, -115, -107, 4, 2
43.5708, 1.4546, -114, -112, 1, 2
43.5708, 1.4546, -114, -118, -1, 2
43.5708, 1.4546, -114, -113, 0, 2
43.5707, 1.4546, -115, -113, 0, 2
43.5707, 1.4547, -115, -109, 4, 2
43.5706, 1.4547, -113, -102, 6, 2
43.5706, 1.4548, -110, -105, 3, 2
43.5705, 1.4548, -115, -105, 6, 2
43.5705, 1.4549, -115, -105, 4, 2
43.5704, 1.4549, -115, -113, 0, 2
43.5704, 1.4550, -116, -106, 4, 2
43.5703, 1.4550, -111, -119, -2, 2
43.5703, 1.4550, -112, -109, 2, 2
43.5702, 1.4551, -110, -106, 0, 2
43.5702, 1.4551, -115, -118, -1, 2
43.5701, 1.4551, -115, -110, 3, 2
43.5701, 1.4553, -115, -111, 1, 2
43.5701, 1.4554, -115, -111, 0, 2
43.5701, 1.4554, -101, -129, -12, 2
43.5700, 1.4555, -114, -111, 2, 2
43.5700, 1.4555, -115, -113, 0, 2
43.5700, 1.4556, -115, -112, 0, 2
43.5699, 1.4556, -115, -111, 2, 2
43.5699, 1.4557, -114, -112, 0, 2
43.5698, 1.4557, -114, -109, 3, 2
43.5698, 1.4558, -115, -110, 2, 2
43.5697, 1.4558, -115, -113, 1, 2
43.5697, 1.4559, -114, -110, 1, 2
43.5696, 1.4559, -115, -110, 2, 2
43.5695, 1.4560, -115, -112, 1, 2
43.5695, 1.4560, -115, -110, 2, 2
43.5695, 1.4561, -112, -109, 1, 2
43.5694, 1.4562, -115, -110, 2, 2
43.5693, 1.4562, -115, -110, 1, 2
43.5693, 1.4563, -115, -109, 4, 2
43.5692, 1.4563, -115, -112, 1, 2
43.5691, 1.4565, -115, -111, 2, 2
43.5690, 1.4566, -115, -108, 4, 2
43.5690, 1.4566, -115, -112, 0, 2
43.5689, 1.4567, -115, -110, 3, 2
43.5689, 1.4567, -115, -112, 0, 2
43.5688, 1.4568, -115, -110, 2, 2
43.5688, 1.4568, -114, -113, 1, 2
43.5687, 1.4569, -115, -113, 0, 2
43.5687, 1.4570, -115, -112, 0, 2
43.5686, 1.4570, -115, -113, 0, 2
43.5685, 1.4570, -111, -120, -3, 2
43.5685, 1.4571, -112, -110, 2, 2
43.5684, 1.4571, -113, -110, 2, 2
43.5684, 1.4572, -115, -110, 4, 2
43.5683, 1.4572, -116, -113, 0, 2
43.5683, 1.4573, -115, -112, 1, 2
43.5683, 1.4573, -115, -112, 0, 2
43.5682, 1.4573, -115, -112, 0, 2
43.5682, 1.4574, -115, -107, 3, 2
43.5681, 1.4574, -115, -111, 0, 2
43.5681, 1.4575, -115, -112, 1, 2
43.5680, 1.4576, -116, -118, -1, 2
43.5679, 1.4576, -115, -120, -3, 2
43.5679, 1.4577, -114, -110, 0, 2
43.5678, 1.4577, -115, -110, 3, 2
43.5678, 1.4578, -115, -112, 0, 2
43.5677, 1.4578, -115, -112, 1, 2
43.5676, 1.4579, -114, -110, 1, 2
43.5676, 1.4579, -110, -119, -2, 2
43.5676, 1.4580, -114, -120, -3, 2
43.5675, 1.4580, -115, -118, -1, 2
43.5675, 1.4581, -115, -119, -2, 2
43.5674, 1.4581, -116, -113, 0, 2
43.5673, 1.4582, -115, -112, 2, 2
43.5673, 1.4582, -116, -118, -1, 2
43.5672, 1.4583, -115, -118, -1, 2
43.5672, 1.4583, -114, -111, 0, 2
43.5672, 1.4584, -116, -110, 3, 2
43.5671, 1.4585, -115, -120, -3, 2
43.5672, 1.4586, -110, -113, 0, 0
43.5674, 1.4590, -115, -110, 2, 2
43.5675, 1.4591, -115, -111, 1, 2
43.5675, 1.4591, -113, -110, 2, 2
43.5676, 1.4592, -115, -111, 1, 2
43.5676, 1.4592, -115, -111, 2, 2
43.5676, 1.4593, -114, -112, 0, 2
43.5677, 1.4594, -115, -106, 5, 2
43.5677, 1.4594, -115, -109, 4, 2
43.5678, 1.4595, -115, -108, 4, 2
43.5678, 1.4595, -115, -109, 3, 2
43.5679, 1.4596, -115, -111, 2, 2
43.5680, 1.4596, -115, -118, -1, 2
43.5680, 1.4597, -115, -113, 0, 2
43.5681, 1.4597, -115, -109, 4, 2
43.5681, 1.4598, -115, -111, 1, 2
43.5681, 1.4599, -116, -111, 1, 2
43.5681, 1.4599, -115, -111, 2, 2
43.5681, 1.4600, -114, -111, 0, 2
43.5680, 1.4600, -112, -107, 2, 2
43.5679, 1.4600, -114, -110, 3, 2
43.5679, 1.4600, -113, -108, 3, 2
43.5678, 1.4601, -114, -108, 3, 2
43.5677, 1.4601, -114, -101, 6, 2
43.5677, 1.4602, -115, -106, 4, 2
43.5676, 1.4602, -115, -109, 3, 2
43.5676, 1.4603, -114, -107, 4, 2
43.5675, 1.4603, -113, -120, -3, 2
43.5674, 1.4604, -114, -111, 0, 2
43.5674, 1.4604, -112, -121, -4, 2
43.5674, 1.4605, -111, -118, -1, 2
43.5673, 1.4606, -98, -131, -14, 2
43.5674, 1.4607, -95, -122, -5, 2
43.5674, 1.4608, -96, -123, -6, 2
43.5674, 1.4609, -98, -120, -3, 2
43.5674, 1.4609, -110, -124, -7, 2
43.5675, 1.4609, -110, -121, -4, 2
43.5675, 1.4610, -106, -128, -11, 2
43.5676, 1.4611, -106, -123, -6, 2
43.5677, 1.4614, -111, -106, 4, 2
43.5678, 1.4615, -110, -106, 3, 2
43.5678, 1.4617, -113, -100, 5, 2
43.5679, 1.4617, -112, -95, 7, 2
43.5679, 1.4618, -106, -99, 5, 2
43.5679, 1.4619, -107, -96, 7, 2
43.5679, 1.4620, -110, -103, 3, 2
43.5679, 1.4621, -114, -96, 7, 2
43.5680, 1.4622, -115, -93, 7, 2
43.5680, 1.4623, -116, -97, 7, 2
43.5680, 1.4624, -115, -93, 6, 2
43.5680, 1.4625, -116, -105, 5, 2
43.5680, 1.4626, -115, -100, 6, 2
43.5679, 1.4627, -114, -98, 7, 2
43.5679, 1.4628, -116, -100, 7, 2
43.5679, 1.4629, -116, -101, 6, 2
43.5679, 1.4630, -115, -101, 7, 2
43.5679, 1.4630, -115, -103, 5, 2
43.5679, 1.4631, -115, -95, 7, 2
43.5679, 1.4632, -115, -98, 6, 2
43.5679, 1.4633, -115, -96, 7, 2
43.5678, 1.4634, -114, -101, 7, 2
43.5678, 1.4635, -116, -102, 6, 2
